Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
924-EAR00370,EAR00370,Embedded Artists,https://ru.mouser.com/datasheet/2/131/1YM_M2_Datasheet-1947967.pdf,,,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Embedded-Artists/EAR00370?qs=KUoIvG/9IlZQKDh/TJxRAw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EAR00370&utm_content=Embedded-Artists,,,,,,,,,,,,,,,,,,,,,,
634-WF121-A-V2,WF121-A-V2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/Bluegiga_WF121_Datasheet-1203323.pdf,26  In Stock,$34.09,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/WF121-A-V2?qs=8HqIXBaaO6y%2BU5ZnC5NF0g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WF121-A-V2&utm_content=Silicon-Labs,WF121,802.11 b/g/n,2.4 GHz,"11 Mb/s, 54 Mb/s, 72.2 Mb/s","Ethernet, GPIO, I2C, SPI, UART, USB",17 dBm,"3.3 V, 2.7 V to 4.8 V",143 mA,127 mA,- 40 C,+ 85 C,WiFi,,,,,"Cut Tape, Reel",,,,,
426-FIT0628,FIT0628,DFRobot,,30  In Stock,$13.79,,New Product,https://ru.mouser.com/ProductDetail/DFRobot/FIT0628?qs=%2B6g0mu59x7KyRKUyo0xpcA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FIT0628&utm_content=DFRobot,,802.11 b/g/n,2.4 GHz to 2.4835 GHz,150 Mb/s,USB,20 dBm,,,,0 C,+ 40 C,WiFi,,,,,,,,,,
125-MTXDOT-EU1-A00-1,MTXDOT-EU1-A00-1,MultiTech,https://ru.mouser.com/datasheet/2/1061/86002182-1857911.pdf,43  In Stock,$45.83,,New Product,https://ru.mouser.com/ProductDetail/MultiTech/MTXDOT-EU1-A00-1?qs=7MVldsJ5UaxlQwNpIu/6TQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MTXDOT-EU1-A00-1&utm_content=MultiTech,,,860 MHz to 870 MHz,,"I2C, SPI, UART",14 dBm,,,,- 40 C,+ 85 C,LoRaWAN 1.0.2,,,,,,,,,,
924-EAR00373,EAR00373,Embedded Artists,,24  In Stock,$69.07,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Embedded-Artists/EAR00373?qs=KUoIvG/9IlYzQ30Y568uWQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EAR00373&utm_content=Embedded-Artists,,,,,,,,,,,,,,,,,,,,,,
125-MTDOT915X1PSMA1,MTDOT-915-X1P-SMA-1,MultiTech,https://ru.mouser.com/datasheet/2/1061/86002171-1857828.pdf,13  In Stock,$99.50,,New Product,https://ru.mouser.com/ProductDetail/MultiTech/MTDOT-915-X1P-SMA-1?qs=7MVldsJ5Uaw8Hfuwrgw0yA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MTDOT-915-X1P-SMA-1&utm_content=MultiTech,,,915 MHz,,"I2C, SPI, UART",19 dBm,3.3 V to 5 V,,,- 40 C,+ 85 C,LoRaWAN 1.0.2,,,,,,,,,,
556-1510MR210UB1140,ATWINC1510-MR210UB1140,Microchip Technology / Atmel,https://ru.mouser.com/datasheet/2/268/ATWINC15x0_MR210xB_IEEE_802_11_b_g_n_SmartConnect_-1507285.pdf,23  In Stock,$17.12,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATWINC1510-MR210UB1140?qs=HXFqYaX1Q2xJ3wO1hIqLxQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ATWINC1510-MR210UB1140&utm_content=Microchip-Technology-/-Atmel,ATWINC1500,802.11 b/g/n,2.4 GHz,72.2 Mb/s,Serial,18.5 dBm,2.7 V to 3.6 V,266 mA,61 mA,- 40 C,+ 85 C,WiFi,,,,,Tray,,,,,
673-TWR0063,TWR0063,PulseLarsen Antennas,https://ru.mouser.com/datasheet/2/336/WiFi-Module-TWR0063_802.11bgn_module-1389319.pdf,"1,555  In Stock",$25.37,RoHS Compliant,,https://ru.mouser.com/ProductDetail/PulseLarsen-Antennas/TWR0063?qs=w/v1CP2dgqq9tESpTheYeA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TWR0063&utm_content=PulseLarsen-Antennas,TWR,802.11 b/g/n,2.4 GHz,150 Mb/s,USB,,3.3 V,,,- 5 C,+ 60 C,WiFi,"Bluetooth, BLE",,,,Tray,,,,,
963-WYSAGVDXG,WYSAGVDXG,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TY_WLAN_WYSAGVDXG_Overview_V1.0_20190520-1773487.pdf,787  In Stock,$42.15,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/WYSAGVDXG?qs=gZXFycFWdANXBrsbnVKHrQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=WYSAGVDXG&utm_content=Taiyo-Yuden,,802.11 a/ac/b/g/n,"2.4 GHz, 5 GHz",433.3 Mb/s,,12 dBm,3.3 V,,,- 30 C,+ 85 C,WiFi,BLE,,,,Tray,,,,,
755-BP35C0,BP35C0,ROHM Semiconductor,https://ru.mouser.com/datasheet/2/348/bp35c0-e-1874459.pdf,,,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/ROHM-Semiconductor/BP35C0?qs=HXFqYaX1Q2wDTfWy1DJPJw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BP35C0&utm_content=ROHM-Semiconductor,BP35,,920 MHz,100 kb/s,UART,13 dBm,2.6 V to 3.6 V,45 mA,25 mA,- 30 C,+ 85 C,WiFi,BLE,,,,"Cut Tape, MouseReel, Reel",,,,,
332-NM-DB-3,NM-DB-3M,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_NM-DB-3M-1602286.pdf,80  In Stock,$369.02,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/NM-DB-3M?qs=rrS6PyfT74c4ZUzca6sQBg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NM-DB-3M&utm_content=Doodle-Labs,NM-DB,802.11 n,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",450 Mb/s,miniPCIe,"27 dBm, 29 dBm",3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,,,,,,
